accession	species
AM284218	Lactobacillus ruminis
AM284219	Lactobacillus sakei
AM284220	Lactobacillus sakei
AM284221	Lactobacillus sakei
AM284222	Lactobacillus salivarius
AM284223	Lactobacillus saerimneri
AM284224	Lactobacillus parabuchneri
AM284225	Lactobacillus collinoides
AM284226	Lactobacillus agilis
AM284227	Lactobacillus agilis
AM284228	Lactobacillus bifermentans
AM284229	Lactobacillus bifermentans
AM284230	Lactobacillus durianis
AM284231	Lactobacillus salivarius
AM284232	Lactobacillus curvatus
AM284233	Lactobacillus curvatus
AM284234	Lactobacillus curvatus
AM284235	Lactobacillus curvatus
AM284236	Lactobacillus gasseri
AM284237	Lactobacillus gasseri
AM284238	Lactobacillus johnsonii
AM284239	Lactobacillus johnsonii
AM284240	Lactobacillus gasseri
AM284241	Lactobacillus gasseri
AM284242	Lactobacillus johnsonii
AM284243	Lactobacillus johnsonii
AM284244	Lactobacillus johnsonii
AM284245	Lactobacillus johnsonii
AM284246	Lactobacillus farciminis
AM284247	Lactobacillus perolens
AM284248	Lactobacillus perolens
AM284249	Lactobacillus reuteri
AM284250	Lactobacillus reuteri
AM285024	Lactobacillus nantensis
AM285025	Lactobacillus crustorum
AM285026	Lactobacillus crustorum
AM285027	Lactobacillus crustorum
AM285028	Lactobacillus crustorum
AM285449	Lactobacillus crustorum
AM711145	Leuconostoc mesenteroides
AM711194	Leuconostoc fructosum
AM745639	Pediococcus pentosaceus
AM745640	Pediococcus acidilactici
AM745643	Pediococcus pentosaceus
AM745656	Lactobacillus nantensis
AM745694	Pediococcus pentosaceus
AM745699	Pediococcus acidilactici
AM745707	Pediococcus acidilactici
AM745714	Lactobacillus namurensis
AM745718	Pediococcus pentosaceus
AM749814	Pediococcus acidilactici
AM749815	Pediococcus pentosaceus
AM899823	Pediococcus argentinicus
AM899827	Pediococcus dextrinicus
AM899831	Pediococcus dextrinicus
AM899832	Pediococcus claussenii
AM899837	Pediococcus dextrinicus
AM899840	Pediococcus claussenii
AM899841	Pediococcus claussenii
AM899842	Pediococcus claussenii
AM899843	Pediococcus claussenii
AM899844	Pediococcus claussenii
AM899845	Pediococcus claussenii
AM899846	Pediococcus claussenii
AM899847	Pediococcus claussenii
AM899848	Pediococcus ethanolidurans
AM899944	Pediococcus siamensis
AM901456	Lactobacillus crustorum
AM901508	Lactobacillus namurensis
AM901510	Lactobacillus namurensis
AM901515	Lactobacillus nantensis
AM901518	Lactobacillus nantensis
AM901521	Lactobacillus nantensis
AM901528	Lactobacillus nantensis
